iter	Passed	Remaining
398	166656	629870
399	167049	629357
400	167439	628838
401	167874	628486
402	168310	628138
403	168754	627817
404	169192	627473
405	169558	626866
406	169967	626414
407	170356	625894
408	170814	625624
409	171218	625157
410	171689	624931
411	172105	624508
412	172503	624020
413	172897	623517
414	173338	623183
415	173776	622836
416	174195	622426
417	174629	622063
418	175001	621484
419	175420	621071
420	175830	620626
421	176225	620130
422	176627	619658
423	177042	619231
424	177394	618584
425	177860	618336
426	178248	617816
427	178639	617307
428	179075	616956
429	179466	616448
430	179867	615972
431	180281	615545
432	180685	615083
433	181045	614471
434	181536	614301
435	181892	613679
436	182294	613210
437	182733	612867
438	183156	612469
439	183590	612108
440	184021	611734
441	184468	611416
442	184921	611117
443	185344	610716
444	185779	610358
445	186244	610097
446	186695	609787
447	187106	609350
448	187533	608960
449	187919	608440
450	188290	607874
451	188772	607664
452	189203	607289
453	189575	606724
454	189934	606119
455	190360	605731
456	190803	605393
457	191245	605054
458	191583	604386
459	191995	603950
460	192363	603379
461	192721	602777
462	193084	602189
463	193490	601739
464	193904	601311
465	194277	600760
466	194616	600102
467	195007	599605
468	195368	599019
469	195781	598590
470	196183	598129
471	196608	597741
472	196946	597086
473	197349	596628
474	197726	596093
475	198124	595621
476	198476	595014
477	198871	594534
478	199278	594090
479	199671	593606
480	200125	593302
481	200513	592803
482	200899	592301
483	201289	591808
484	201702	591384
485	202057	590790
486	202456	590324
487	202882	589938
488	203243	589365
489	203650	588922
490	204011	588350
491	204398	587853
492	204780	587342
493	205146	586784
494	205494	586178
495	205909	585761
496	206342	585398
497	206704	584833
498	207140	584476
499	207600	584187
500	207985	583686
501	208403	583280
502	208792	582793
503	209182	582308
504	209544	581745
505	209924	581234
506	210317	580758
507	210749	580391
508	211114	579840
509	211554	579492
510	211911	578919
511	212260	578327
512	212665	577885
513	213088	577495
514	213502	577078
515	213929	576696
516	214405	576448
517	214798	575975
518	215236	575622
519	215611	575102
520	216002	574624
521	216436	574261
522	216855	573858
523	217277	573464
524	217669	572990
525	218030	572433
526	218404	571913
527	218804	571460
528	219224	571060
529	219605	570560
530	219993	570076
531	220377	569584
532	220739	569037
533	221158	568635
534	221546	568153
535	221955	567726
536	222316	567175
537	222762	566842
538	223149	566360
539	223475	565724
540	223912	565368
541	224281	564842
542	224710	564466
543	225121	564044
544	225554	563680
545	225978	563290
546	226378	562841
547	226805	562461
548	227217	562043
549	227677	561742
550	228056	561242
551	228438	560750
552	228840	560307
553	229246	559874
554	229612	559344
555	229953	558753
556	230353	558308
557	230781	557929
558	231161	557434
559	231579	557032
560	231984	556598
561	232402	556195
562	232821	555794
563	233265	555452
564	233681	555046
565	234092	554625
566	234559	554337
567	235025	554048
568	235437	553629
569	235857	553229
570	236335	552968
571	236715	552474
572	237189	552199
573	237578	551728
574	237984	551295
575	238397	550880
576	238821	550489
577	239253	550117
578	239692	549760
579	240117	549372
580	240590	549093
581	241028	548733
582	241421	548271
583	241863	547919
584	242284	547520
585	242699	547108
586	243102	546669
587	243509	546240
588	243885	545741
589	244291	545307
590	244696	544873
591	245086	544407
592	245486	543961
593	245904	543556
594	246284	543067
595	246707	542673
596	247190	542411
597	247614	542019
598	247990	541522
599	248383	541061
600	248777	540604
601	249186	540180
